	comment	comment_date	is_merged	merged_at	request_changes
0	@chef/maintainers 	2017-05-29 10:54:23	0.0		0
1	omnibus builds are already in pain so merging to fix those	2017-05-25 20:34:45	1.0	2017-05-25 20:34:27	0
2	@chef/client-core reviewage (lets not think too hard about the breakpoint resource itself, i just picked it because its the shortest bit of provider code out there)	2017-05-25 17:21:56	1.0	2017-05-25 19:05:10	0
3	This blows up 14.04 because allow-downgrades is not supported there, so you'll need to figure out the first versions of ubuntu and debian that can safely support this and conditionally add the flag	2017-05-25 19:15:14	0.0		1
4	I know @lamont-granquist and @thommay  are going to be unhappy about this one. This is absolutely a short term fix until we get choco on the windows jenkins nodes like it was before our system failure.	2017-05-23 22:58:13	1.0	2017-05-24 04:40:42	0
5	no, that's absolutely the right thing to do.	2017-05-24 13:48:17	1.0	2017-05-24 04:40:42	0
6	^ trailing comma is trolling you	2017-05-23 23:08:46	1.0	2017-05-24 04:40:42	0
7	Yolo link fixing	2017-05-23 22:01:46	1.0	2017-05-23 22:01:40	0
8	Should https://github.com/chef/chef/pull/6156 get added too? i missed adding it to the release notes in my PR	2017-05-23 21:19:08	1.0	2017-05-23 21:42:14	0
9	Might also be cool to do this for `node['platform_version']`, in the Ohai loading we could do something like `automatic['platform_version'] = VersionString.new(automatic['platform_version'])`.	2017-05-23 16:00:35	1.0	2017-05-31 01:32:43	0
10	The `===` hack might be too much, would be cool if everyone else wants to just do the fancy `=~` operator and skip the `case` magic.	2017-05-23 16:09:09	1.0	2017-05-31 01:32:43	0
11	yeah probably not the monkeypatching of `===`	2017-05-25 21:09:01	1.0	2017-05-31 01:32:43	0
12	Okay, the `===` trickery is gone and chef-config is no longer wrecked :)	2017-05-26 05:04:25	1.0	2017-05-31 01:32:43	0
13	chefstyle needs care and feeding	2017-05-30 15:35:14	1.0	2017-05-31 01:32:43	0
14	And now fingers crossed that this doesn't some how jam the bumpbot :)	2017-05-31 02:53:30	1.0	2017-05-31 01:32:43	0
15	I would rather we just leave it as invalid and surface the bundler error to the user. It's just like you've requested an invalid cookbook dependency, should be a fatal error not a warning.	2017-05-22 13:38:21	0.0		1
16	"Unfortunately, it would be totally valid that two cookbooks want to install the same gem with the same options (e.g. install from the same git repo), but currently it would produce an invalid Gemfile in that case. 

EDIT: Ah, nvm you mean replacing the warning with a fatal error. Yes that makes sense."	2017-05-22 13:41:13	0.0		0
17	"We should check that the values are ""compatible"" then, i.e. make sure it's still an error if two cookbooks do actually request differing versions of the same gem and whatnot."	2017-05-22 13:45:46	0.0		0
18	"I changed the request to fail directly whenever we would have directly conflicting requirements. Further checking if values are ""compatible"" might be quite complicated and is probably better done by Bundler."	2017-05-22 15:04:20	0.0		0
19	I think we need to get to a point where running these tests on a FIPSified system actually ensures FIPSiness, so let's pass through the read. I want to get a FIPS windows node and a FIPS linux node in to the test matrix soon.	2017-05-19 15:55:54	0.0		0
20	"makes me a bit twitchy.  should really be `allow(::File).to recieve(:read).and_call_original` (which is much clearer that the problem is that you're working around the stub on the next line blocking other arguments).

and it feels like it should a bit more explicitly test this.  setup the non-fips case and explicitly mock it out to run non-fips even on a fips box, and then mock it to fips and make sure the behavior is correct even on a non-fips box."	2017-05-19 22:52:17	0.0		1
21	Closes: #6161	2017-05-17 15:44:28	0.0		0
22	We'll want to put the Ohai 6 plugin deprecation note in there for this release though	2017-05-17 16:27:50	0.0		0
23	looks correct.  it looks like we were testing the broken behavior so existing tests just need to be changed to return Systemd correctly, and the use cases for systemd+everything else at the same time all look right with everything defaulting to systemd except in the case where only an upstart script exists (which is probably not going to work anyways, but its certainly the best we could ever do and we can let the OS fail in that case...)	2017-05-15 21:43:43	1.0	2017-05-16 08:59:50	0
24	This is a super frustrating bug that I'd love to have fixed.	2017-05-15 21:53:38	1.0	2017-05-16 08:59:50	1
